detectorid,stationid,milepost,lanenumber
102017,5207,36.15,1
102018,5207,36.15,2
102019,5208,36.15,1
102020,5208,36.15,2
101766,10347,0,2
101767,10347,0,1
101976,10330,0,2
101977,10330,0,1
101982,10331,0,2
101983,10331,0,1
101694,10326,0,4
101709,10328,0,1
101714,10329,0,2
101715,10329,0,1
101732,10332,0,2
100836,1147,306.6,3
101769,10349,57.52,1
101762,10347,0,6
101763,10347,0,5
101729,10332,0,5
101730,10332,0,4
101731,10332,0,3
101710,10329,0,6
101711,10329,0,5
101712,10329,0,4
101713,10329,0,3
101705,10328,0,5
101706,10328,0,4
101733,10332,0,1
101751,10340,43.77,2
101752,10340,43.77,1
100602,3210,0,2
100881,1056,1.33,3
100882,1056,1.33,2
100883,1056,1.33,1
100878,1055,0.52,3
100879,1055,0.52,2
100880,1055,0.52,1
100876,1097,0.1,2
100877,1097,0.1,1
101037,3178,61.05,2
101038,3178,61.05,1
100863,1087,68.55,3
100864,1087,68.55,2
100865,1087,68.55,1
100860,1086,67.4,3
100861,1086,67.4,2
100862,1086,67.4,1
100857,1085,65.9,3
100858,1085,65.9,2
100859,1085,65.9,1
100847,1081,61.25,2
100848,1081,61.25,1
100845,1138,58.8,2
100846,1138,58.8,1
100672,1148,72.21,3
100673,1148,72.21,2
100674,1148,72.21,1
100669,1091,71.39,3
100670,1091,71.39,2
100671,1091,71.39,1
100660,1090,70.9,3
100661,1090,70.9,2
100662,1090,70.9,1
100651,1089,69.22,3
100652,1089,69.22,2
100653,1089,69.22,1
100635,3180,69.31,3
100636,3180,69.31,2
100637,3180,69.31,1
100628,3163,73.17,3
100629,3163,73.17,2
100630,3163,73.17,1
100625,3161,72.17,3
100626,3161,72.17,2
100627,3161,72.17,1
100312,3153,0.25,3
100313,3153,0.25,2
100314,3153,0.25,1
100303,3157,3.4,3
100304,3157,3.4,2
100305,3157,3.4,1
100301,3155,1.5,2
100302,3155,1.5,1
100066,1063,0.66,2
100067,1063,0.66,1
100058,1064,1.34,2
100059,1064,1.34,1
100050,1065,2.16,2
100051,1065,2.16,1
100042,1066,2.68,2
100043,1066,2.68,1
100034,1067,3.85,2
100035,1067,3.85,1
100026,1068,4.65,2
100027,1068,4.65,1
100018,1069,5.85,2
100019,1069,5.85,1
100004,1070,5.9,2
100005,1070,5.9,1
100002,1071,6.61,2
100003,1071,6.61,1
102031,10378,294.87,3
102032,10378,294.87,2
102033,10378,294.87,1
102027,10376,298.02,2
102028,10376,298.02,1
102025,10375,279.3,2
102026,10375,279.3,1
102029,10377,298.02,2
102030,10377,298.02,1
102023,10374,279.3,2
102024,10374,279.3,1
102225,10571,47.83,1
102221,10566,53.93,1
102220,10570,52.44,1
102201,10564,57.8,1
102196,10561,49.95,1
102192,10562,51.83,2
102193,10562,51.83,1
102143,10543,55.99,2
102144,10543,55.99,1
102140,10540,61.77,1
102138,10539,83.51,1
102137,10536,70.99,1
102224,10569,47.83,1
102222,10568,53.93,2
102223,10568,53.93,1
102218,10567,52.44,2
102219,10567,52.44,1
102202,10565,57.8,1
102199,10560,49.95,2
102200,10560,49.95,1
102194,10563,51.83,2
102195,10563,51.83,1
102142,10542,55.99,1
102141,10541,61.77,1
102139,10538,83.51,1
102136,10537,70.99,1
101749,10339,43.77,2
101750,10339,43.77,1
101978,10331,0,6
101979,10331,0,5
101980,10331,0,4
101981,10331,0,3
101972,10330,0,6
101973,10330,0,5
101974,10330,0,4
101975,10330,0,3
101728,10332,0,6
101704,10328,0,6
101698,10327,0,6
101699,10327,0,5
101692,10326,0,6
101693,10326,0,5
100903,1145,5.7,1
100696,1146,69.3,2
100697,1146,69.3,1
100694,1139,71.08,2
100695,1139,71.08,1
102276,10586,19.92,2
102277,10586,19.92,1
101779,10354,307.92,1
100615,3186,300.26,4
100616,3186,300.26,3
100617,3186,300.26,2
100618,3186,300.26,1
100613,3187,299.8,2
100614,3187,299.8,1
100611,10123,0.2,2
100612,10123,0.2,1
100610,10122,1.77,1
100608,10121,1.77,2
100609,10121,1.77,1
100604,3211,0,2
100605,3211,0,1
100603,3210,0,1
100450,1037,291.9,2
100451,1037,291.9,1
102158,10547,73.71,1
102157,10549,73.71,1
102156,10548,73.71,1
101964,10358,5.82,1
101113,10285,6.7,1
102109,10525,306.51,-1
102108,10523,305.12,-1
102107,10522,304.4,-1
102106,10524,303.88,-1
101965,10359,292.06,2
101966,10359,292.06,1
101772,10351,307.92,1
101289,10520,300.47,4
101290,10520,300.47,3
101291,10520,300.47,2
101292,10520,300.47,1
100606,3201,0.2,2
100607,3201,0.2,1
102145,10545,12.16,2
102146,10545,12.16,1
102147,10544,12.16,3
102148,10544,12.16,2
102149,10544,12.16,1
102119,10531,59.04,1
102117,10530,57.95,1
102115,10534,56.75,1
102113,10535,56.18,1
102118,10532,59.04,1
102116,10533,57.95,1
102114,10528,56.75,1
102111,10527,56.18,1
102122,10526,24.41,2
102123,10526,24.41,1
102120,10529,24.41,2
102121,10529,24.41,1
102084,10380,5.43,3
102085,10380,5.43,2
102086,10380,5.43,1
101969,10361,6.33,3
101970,10361,6.33,2
101971,10361,6.33,1
101676,3154,0.25,4
101677,3154,0.25,3
101678,3154,0.25,2
101679,3154,0.25,1
100306,3177,3.4,3
100307,3177,3.4,2
100308,3177,3.4,1
100299,3156,1.5,2
100300,3156,1.5,1
100165,1072,6.77,3
100166,1072,6.77,2
100167,1072,6.77,1
100157,1073,5.95,2
100158,1073,5.95,1
100149,1074,5.11,2
100176,10023,8.48,2
100150,1074,5.11,1
100141,1075,4.35,2
100142,1075,4.35,1
100127,1076,3.5,2
100128,1076,3.5,1
100119,1077,3.12,2
100120,1077,3.12,1
100117,1078,2.55,2
100118,1078,2.55,1
100103,1079,1.92,2
100104,1079,1.92,1
100094,1080,0.76,3
100095,1080,0.76,2
100096,1080,0.76,1
100085,1111,0.45,3
100086,1111,0.45,2
100087,1111,0.45,1
100071,1118,0.08,2
100072,1118,0.08,1
102189,10557,70.16,3
102190,10557,70.16,2
102191,10557,70.16,1
102182,10558,69.77,3
102183,10558,69.77,2
102184,10558,69.77,1
102162,10552,72.65,4
102163,10552,72.65,3
102164,10552,72.65,2
102165,10552,72.65,1
102150,10546,73.71,3
102151,10546,73.71,2
102152,10546,73.71,1
101041,3159,62.48,2
101042,3159,62.48,1
101039,3158,61.05,2
101040,3158,61.05,1
100873,1094,68.2,3
100874,1094,68.2,2
100875,1094,68.2,1
100870,1095,67,3
100871,1095,67,2
100872,1095,67,1
100868,1136,65.65,2
100869,1136,65.65,1
100866,1129,64.24,2
100867,1129,64.24,1
100681,1092,71.37,3
100682,1092,71.37,2
100683,1092,71.37,1
101281,1122,73.71,2
101282,1122,73.71,1
100675,1112,73.33,4
100676,1112,73.33,3
100677,1112,73.33,2
100678,1112,73.33,1
100647,3162,72.17,4
100648,3162,72.17,3
100649,3162,72.17,2
100650,3162,72.17,1
100643,3181,73.17,4
100644,3181,73.17,3
100645,3181,73.17,2
100646,3181,73.17,1
100640,3160,69.31,3
100641,3160,69.31,2
100642,3160,69.31,1
101686,3174,305.9,3
101687,3174,305.9,2
101688,3174,305.9,1
101303,10318,291.48,4
101304,10318,291.48,3
101305,10318,291.48,2
101306,10318,291.48,1
101065,3115,294.05,3
101066,3115,294.05,2
101067,3115,294.05,1
101031,3173,305.6,3
101032,3173,305.6,2
101033,3173,305.6,1
101026,3172,303.47,2
101027,3172,303.47,1
100842,1026,307.9,3
100843,1026,307.9,2
100844,1026,307.9,1
100839,1027,307.35,3
100840,1027,307.35,2
100841,1027,307.35,1
100837,1147,306.6,2
100838,1147,306.6,1
100833,1028,305.97,3
100834,1028,305.97,2
100835,1028,305.97,1
100830,1029,305.51,3
100831,1029,305.51,2
100832,1029,305.51,1
100827,1030,305.4,3
100828,1030,305.4,2
100829,1030,305.4,1
100824,1031,304.85,3
100825,1031,304.85,2
100826,1031,304.85,1
100821,1032,304.08,3
100822,1032,304.08,2
100823,1032,304.08,1
100818,1033,303.9,3
100819,1033,303.9,2
100820,1033,303.9,1
100816,1034,303.1,2
100817,1034,303.1,1
100812,1035,302.17,2
100813,1035,302.17,1
100809,1108,296.26,3
100810,1108,296.26,2
100811,1108,296.26,1
100806,1107,295.18,3
100807,1107,295.18,2
100808,1107,295.18,1
100803,1105,293.36,3
100804,1105,293.36,2
100805,1105,293.36,1
100800,1131,293.1,3
100801,1131,293.1,2
100802,1131,293.1,1
100687,3118,297.6,3
100688,3118,297.6,2
100689,3118,297.6,1
100684,3116,297.3,3
100685,3116,297.3,2
100686,3116,297.3,1
100558,3192,287.46,4
100559,3192,287.46,3
100560,3192,287.46,2
100561,3192,287.46,1
100555,3113,285.28,3
100556,3113,285.28,2
100557,3113,285.28,1
100529,3120,301.32,3
100530,3120,301.32,2
100531,3120,301.32,1
100447,1038,291.25,3
100448,1038,291.25,2
100449,1038,291.25,1
100444,1039,290.4,3
100445,1039,290.4,2
100446,1039,290.4,1
100441,1040,289.38,3
100442,1040,289.38,2
100443,1040,289.38,1
100438,3182,283.93,3
100439,3182,283.93,2
100440,3182,283.93,1
100391,3121,302.51,2
100392,3121,302.51,1
100374,1036,299.25,3
100375,1036,299.25,2
100376,1036,299.25,1
100367,1096,299.5,2
100368,1096,299.5,1
100283,3185,300.8,3
100284,3185,300.8,2
100285,3185,300.8,1
100269,3194,298.9,3
100270,3194,298.9,2
100271,3194,298.9,1
102285,10589,8.56,2
102286,10589,8.56,1
102282,10583,19.54,3
102283,10583,19.54,2
102284,10583,19.54,1
102273,10581,19.92,3
102274,10581,19.92,2
102275,10581,19.92,1
102257,10582,23.02,4
102258,10582,23.02,3
102259,10582,23.02,2
102260,10582,23.02,1
102245,10579,25.6,4
102246,10579,25.6,3
102247,10579,25.6,2
102248,10579,25.6,1
102242,10577,2.8,3
102243,10577,2.8,2
102244,10577,2.8,1
102234,10572,6.89,2
102235,10572,6.89,1
102232,10574,6.09,2
102233,10574,6.09,1
101146,3105,21.68,4
101147,3105,21.68,3
101148,3105,21.68,2
101149,3105,21.68,1
101071,3001,10.2,3
101072,3001,10.2,2
101073,3001,10.2,1
101061,3107,23.27,4
101062,3107,23.27,3
101063,3107,23.27,2
101064,3107,23.27,1
101059,3104,7.6,2
101060,3104,7.6,1
101057,3195,5.39,2
101058,3195,5.39,1
101054,3101,1.96,3
101055,3101,1.96,2
101056,3101,1.96,1
101017,1049,24.77,3
101018,1049,24.77,2
101019,1049,24.77,1
101002,1052,19.25,3
101003,1052,19.25,2
101004,1052,19.25,1
100999,1053,18.92,3
101000,1053,18.92,2
101001,1053,18.92,1
100993,1098,16.24,3
100994,1098,16.24,2
100995,1098,16.24,1
100990,1125,14.58,3
100991,1125,14.58,2
100992,1125,14.58,1
100987,1126,14.32,3
100988,1126,14.32,2
100989,1126,14.32,1
100984,1106,13.38,3
100985,1106,13.38,2
100986,1106,13.38,1
100978,1100,12.67,3
100979,1100,12.67,2
100980,1100,12.67,1
100975,1101,11.05,3
100976,1101,11.05,2
100977,1101,11.05,1
100972,1102,10.24,3
100973,1102,10.24,2
100974,1102,10.24,1
100970,10235,9.29,2
100971,10235,9.29,1
100968,1104,8.5,2
100969,1104,8.5,1
100960,1114,2.86,2
100961,1114,2.86,1
101022,3122,4.09,2
101023,3122,4.09,1
100544,3110,1.77,2
100545,3110,1.77,1
100393,3196,1.15,3
100394,3196,1.15,2
100395,3196,1.15,1
100333,1119,2.22,2
100334,1119,2.22,1
100331,1120,1.81,2
100332,1120,1.81,1
100328,1121,1.37,3
100329,1121,1.37,2
100330,1121,1.37,1
100325,1135,1.08,3
100326,1135,1.08,2
100327,1135,1.08,1
100321,1134,0.97,4
100322,1134,0.97,3
100323,1134,0.97,2
100324,1134,0.97,1
102175,10555,2.64,3
102176,10555,2.64,2
102177,10555,2.64,1
101186,3202,16.9,2
101187,3202,16.9,1
101183,3152,15.94,3
101184,3152,15.94,2
101185,3152,15.94,1
101180,3150,15.17,3
101181,3150,15.17,2
101182,3150,15.17,1
101177,3148,14.4,3
101178,3148,14.4,2
101179,3148,14.4,1
101174,3146,13.04,3
101175,3146,13.04,2
101176,3146,13.04,1
101171,3144,12.16,3
101172,3144,12.16,2
101173,3144,12.16,1
101168,3142,11.47,3
101169,3142,11.47,2
101170,3142,11.47,1
101165,3140,10.04,3
101166,3140,10.04,2
101167,3140,10.04,1
101162,3138,6.7,3
101163,3138,6.7,2
101164,3138,6.7,1
101159,3136,5.82,3
101160,3136,5.82,2
101161,3136,5.82,1
101156,3134,5.03,3
101157,3134,5.03,2
101158,3134,5.03,1
101153,3132,4.25,3
101154,3132,4.25,2
101155,3132,4.25,1
101150,3176,3.36,3
101151,3176,3.36,2
101152,3176,3.36,1
101143,3175,1.82,3
101144,3175,1.82,2
101145,3175,1.82,1
101140,3128,1.21,3
101141,3128,1.21,2
101142,3128,1.21,1
101137,3126,0.45,3
101138,3126,0.45,2
101139,3126,0.45,1
100904,10212,14.43,3
100905,10212,14.43,2
100906,10212,14.43,1
100900,1059,4.9,3
100901,1059,4.9,2
100902,1059,4.9,1
100897,1060,3.43,3
100898,1060,3.43,2
100899,1060,3.43,1
100894,1061,2.4,3
100895,1061,2.4,2
100896,1061,2.4,1
100890,1062,2.1,4
100891,1062,2.1,3
100892,1062,2.1,2
100893,1062,2.1,1
102095,1004,289.63,5
102096,1004,289.63,4
102097,1004,289.63,3
102098,1004,289.63,2
102099,1004,289.63,1
102090,1003,289.4,5
102091,1003,289.4,4
102092,1003,289.4,3
102093,1003,289.4,2
102094,1003,289.4,1
102034,10379,303.1,2
102035,10379,303.1,1
101915,10356,300.99,2
101916,10356,300.99,1
101689,3124,305.9,3
101690,3124,305.9,2
101691,3124,305.9,1
101299,10317,291.47,4
101300,10317,291.47,3
101301,10317,291.47,2
101302,10317,291.47,1
101028,3123,305.6,3
101029,3123,305.6,2
101030,3123,305.6,1
101024,3171,303.47,2
101025,3171,303.47,1
100797,1025,307.9,3
100798,1025,307.9,2
100799,1025,307.9,1
100794,1024,307.46,3
100795,1024,307.46,2
100796,1024,307.46,1
100792,1023,306.51,2
100793,1023,306.51,1
100788,1021,305.12,2
100789,1021,305.12,1
100786,1020,304.4,2
100787,1020,304.4,1
100784,1019,303.88,2
100785,1019,303.88,1
100782,1018,302.5,2
100783,1018,302.5,1
100767,1012,296.6,3
100768,1012,296.6,2
100769,1012,296.6,1
100764,1011,296.26,3
100765,1011,296.26,2
100766,1011,296.26,1
100761,1010,295.18,3
100762,1010,295.18,2
100763,1010,295.18,1
100758,1009,293.74,3
100759,1009,293.74,2
100760,1009,293.74,1
100755,1008,293.18,3
100756,1008,293.18,2
100757,1008,293.18,1
100701,3117,297.6,3
100702,3117,297.6,2
100703,3117,297.6,1
100584,1130,283.93,3
100585,1130,283.93,2
100586,1130,283.93,1
100562,1001,286.1,3
100563,1001,286.1,2
100564,1001,286.1,1
100551,3191,287.46,4
100552,3191,287.46,3
100553,3191,287.46,2
100554,3191,287.46,1
100548,3165,285.58,3
100549,3165,285.58,2
100550,3165,285.58,1
100435,1007,292.18,3
100436,1007,292.18,2
100437,1007,292.18,1
100432,1006,291.61,3
100433,1006,291.61,2
100434,1006,291.61,1
100429,1005,290.54,3
100430,1005,290.54,2
100431,1005,290.54,1
100420,1002,286.3,3
100421,1002,286.3,2
100422,1002,286.3,1
100389,3169,302.52,2
100390,3169,302.52,1
100369,1015,299.7,2
100370,1015,299.7,1
100294,3193,298.9,3
